date,run_time
7/2/2018 0:30,210.457306
7/2/2018 18:22,215.746567
7/5/2018 6:55,213.952606
7/6/2018 18:52,222.481903
7/8/2018 19:22,212.251709
7/10/2018 23:54,209.788574
7/12/2018 18:22,211.727493
7/14/2018 18:52,209.878922
7/16/2018 18:22,210.426575
7/18/2018 19:22,215.48909
7/20/2018 19:23,218.931061
7/22/2018 18:22,210.932068
7/25/2018 0:53,219.475937
7/27/2018 12:26,210.410065
7/28/2018 18:22,208.211914
7/30/2018 19:22,208.271744
8/1/2018 21:53,216.753494
8/3/2018 18:22,208.275024
8/6/2018 8:06,209.31749
8/7/2018 23:55,211.241867
8/9/2018 18:22,210.497055
8/11/2018 18:22,209.110596
8/13/2018 18:22,209.421005
8/15/2018 18:52,209.215012
8/17/2018 18:22,235.205368
8/19/2018 18:22,207.865723
8/21/2018 23:56,214.728729
8/23/2018 18:22,208.269623
8/25/2018 18:22,212.744644
8/27/2018 18:52,207.112946
8/29/2018 19:53,209.734238
8/31/2018 22:23,208.632248
9/2/2018 18:22,209.230743
9/4/2018 18:22,213.96019
9/6/2018 18:22,207.05954
9/8/2018 18:22,211.558228
9/11/2018 4:55,210.604675
9/13/2018 5:26,207.346573
9/15/2018 12:01,212.015137
9/17/2018 7:36,209.533356
9/18/2018 18:22,209.131729
9/20/2018 20:22,210.951706
9/22/2018 18:22,207.289078
9/24/2018 18:22,212.243423
9/26/2018 19:22,212.630936
9/29/2018 0:24,207.526566
9/30/2018 18:22,207.792389
10/2/2018 18:52,208.863022
10/4/2018 21:23,209.458755
10/6/2018 22:53,206.97319
10/9/2018 10:54,211.368958
10/10/2018 18:22,206.714172
10/12/2018 18:22,207.684998
10/14/2018 18:22,206.339249
10/16/2018 18:22,206.463959
10/18/2018 18:22,206.624313
10/20/2018 18:22,205.71225
10/22/2018 19:22,205.323471
10/24/2018 18:22,205.899475
10/26/2018 18:22,206.703476
10/28/2018 18:22,208.7453
10/30/2018 18:22,206.111115
11/1/2018 18:22,210.084244
11/3/2018 18:22,206.932068
11/5/2018 19:22,206.291153
11/7/2018 19:22,206.342758
11/9/2018 19:22,205.589981
11/12/2018 18:55,206.677521
11/14/2018 8:24,206.688293
11/15/2018 19:22,206.193802
11/17/2018 20:52,206.732559
11/19/2018 19:22,206.780121
11/21/2018 22:53,205.912384
11/23/2018 19:22,207.142227
11/25/2018 19:52,207.009399
11/27/2018 19:22,220.047546
11/29/2018 19:22,207.464828
